Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-153255,50927500954,6/2/2023 22:25,,6/2/2023 23:08,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF QUEEN ANNE AVE N,-122.3567426,47.62035713
2023-909278,50932060756,6/2/2023 22:15,6/3/2023 9:15,6/3/2023 10:22,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U1,UNIVERSITY,52XX BLOCK OF BROOKLYN AVE NE,-122.314183,47.667505
2023-153225,50927564580,6/2/2023 22:05,6/2/2023 23:00,6/2/2023 23:20,A,PROPERTY,ROBBERY,Robbery,120,N,B,B3,WALLINGFORD,N 34TH ST / STONE WAY N,-122.3427754,47.64854073
2023-909468,50958980504,6/2/2023 22:00,6/5/2023 16:30,6/7/2023 7:02,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,C,C3,CENTRAL AREA/SQUIRE PARK,E PINE ST / E MADISON ST,-122.3111663,47.61516675
2023-909300,50937981885,6/2/2023 22:00,6/3/2023 6:00,6/4/2023 6:03,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W1,NORTH DELRIDGE,26XX BLOCK OF SW ADAMS ST,-122.3658766,47.56617215
2023-909277,50932060354,6/2/2023 22:00,6/3/2023 8:00,6/3/2023 10:22,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W2,ALASKA JUNCTION,CALIFORNIA AVE SW / SW HUDSON ST,-122.386883,47.55749757
2023-153248,50927922611,6/2/2023 22:00,6/2/2023 22:27,6/2/2023 23:57,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,G,G1,FIRST HILL,1XX BLOCK OF 11TH AVE,-122.318102,47.603102
2023-154053,50934333657,6/2/2023 21:45,6/3/2023 17:13,6/3/2023 19:19,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,S,R,R3,COLUMBIA CITY,35XX BLOCK OF S BRANDON ST,-122.2875865,47.55344408
2023-909366,50944474229,6/2/2023 21:30,6/2/2023 21:30,6/5/2023 8:33,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D2,QUEEN ANNE,10XX BLOCK OF AURORA AVE N,-122.34354,47.62845777
2023-153678,50932325272,6/2/2023 21:30,6/3/2023 8:00,6/3/2023 11:22,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R2,CLAREMONT/RAINIER VISTA,48XX BLOCK OF BEACON AVE S,-122.3044595,47.55987514
